TITLE,SHORT_DESC_ENG,LONG_DESC_ENG,MA_MAIN_ACTIVITIES,NC_CONTRACT_NATURE_Text,ORIGINAL_CPV,ORIGINAL_CPV_Text,PROCUREMENT_TOTAL,PROCUREMENT_TOTAL_CUR,VAL_ESTIMATED_TOTAL,VAL_ESTIMATED_TOTAL_CUR,VAL_TOTAL,VAL_TOTAL_CUR
"Voice Communication Systems for Air Traffic Control at Jersey Airport, Channel Islands","Ports of Jersey are looking for a turnkey solution to replace the existing Voice Communication Systems for ATC, as the existing system is approaching end of life.","3.1) The outline of the project is for a turnkey solution to replace the existing voice communication systems for Air Traffic Control (ATC) at Ports of Jersey airport. The existing VCS is approaching end of life and due to the lack of OEM support, the decision has been taken to replace the system. The turnkey solution shall comply with all applicable regulatory standards;3.2) The successful tenderer will be responsible for all suppliers and subcontractors, the installation, integration, test and technical handover of the equipment’s which, includes the safety assurance documentation;3.3) 2 systems are required:(a) Air Traffic Control Centre (ATCC) — existing HMI and radio/telephone interfaces are 15 positions, 30 telephones, approximately 20 radios, a crash alarm and a public announcement channel;(b) Air Traffic Control Contingency Facility (ATC-B) — existing HMI and radio/telephone interfaces are 9 positions, 6 telephones. 4 radios, a crash alarm and a public announcement channel;(a) in addition, the main Emergency Voice Communications System, E-VCS, is also to be replaced. This is end of life and no longer supported by the supplier. The existing emergency VCS in the ATC-B centre will not be replaced at this time. Options for upgrades to this system during this project will be considered. The E-VCS current HMI and radio/telephone interfaces are 11 positions, 5 telephones and 7 radios.3.4) The tender will be split into 3 main areas, with the requirement that the ATCC and ATC-B Voice Communications System have a common supplier, make, model, spares and training requirements, as explained above.(a) Voice Communications System (VCS) ATCC and ATC-B;(b) Emergency Voice Communication System (E-VCS) ATCC;(c) associated works and fibre interconnectivity support in order to effectively install the voice communications system.3.5) The VCS is operational 24/7 and the expected design life cycle is 15 years.3.6) Those tenderers who are invited to tender (ITT) will be able to conduct a site survey at the airport, so that the tenders can fully familiarise themselves with the existing design and integration requirements.",S,Supplies,32000000,"Radio, television, communication, telecommunication and related equipment",760000,GBP,keine Angabe,keine Angabe,760000,GBP
Work Wear for Forestry and Land Scotland and Scottish Forestry,"The purpose of this tender process is to award 2 national contracts for the provision of branded work wear, 1 for Forestry and Land Scotland and 1 for Scottish Forestry staff throughout Scotland.We are looking for a design led managed service for work wear which is ‘fit for purpose’ for the roles and activities undertaken by the organisation’s staff and ensures staff are identifiable and can proudly represent the organisations when in contact with the public.","Forestry and Land Scotland (FLS) will operate primarily on a commercial basis, including the production and sale of timber and its land management responsibilities will include renewable energy, agriculture, community projects, conservation, recreation and tourism. This work is currently carried out by Forestry Enterprise Scotland, an agency of the Forestry Commission and will transfer to FLS when it is established on 1.4.2019.This lot is for the provision of branded work wear for FLS staff. Products include but are not limited to: waterproof jackets and trousers, polo shirts, fleeces, trousers and some accessories. The purpose of this contract is to provide a suitable outfit for staff to provide protection from external environments and represent the FLS Brand. Therefore supplier must provide the full range of required products as detailed in the specification.",E,Supplies,18100000,"Occupational clothing, special workwear and accessories",1390098.39,GBP,keine Angabe,keine Angabe,1135663.32,GBP
Work Wear for Forestry and Land Scotland and Scottish Forestry,"The purpose of this tender process is to award 2 national contracts for the provision of branded work wear, 1 for Forestry and Land Scotland and 1 for Scottish Forestry staff throughout Scotland.We are looking for a design led managed service for work wear which is ‘fit for purpose’ for the roles and activities undertaken by the organisation’s staff and ensures staff are identifiable and can proudly represent the organisations when in contact with the public.","Scottish Forestry (SF) will operate primarily as the Scottish Government’s forestry advisor and regulator. This work is currently undertaken by the Forestry Commission Scotland and will transfer to SF when it is established on 1.4.2019.This lot is for the provision of branded work wear for SF staff. Products include but are not limited to: waterproof jackets and trousers, polo shirts, fleeces, trousers and some accessories. The purpose of this contract is to provide a suitable outfit for staff to provide some protection from external environments and represent the SF Brand. Therefore supplier must provide the full range of required products.",E,Supplies,18100000,"Occupational clothing, special workwear and accessories",1390098.39,GBP,keine Angabe,keine Angabe,254435.16,GBP
Smartfolio Easy Plus,Back office system that integrates with the flowbird parking machines.,The back office system will be required for the life of the parking machines. this is a sole source of supply due to compatibility with the flowbird parking machines. the contract will be reviewed for other routes to market in within 2 years but could potentially be in place until 31.12.2027.,S,Supplies,48000000,Software package and information systems,221760,GBP,keine Angabe,keine Angabe,221760,GBP
Proc0426 – Jisc HR System,"Jisc is procuring a HR system, with the aim of going live in July 2020. This system will be procured to run on an initial 3-year contract, with the possibility of an extension for a further 2 years, subject to performance review and then subsequent 1-year extensions up to a maximum total contract length of 10 years.","Jisc wishes to implement 1 system that incorporates the functional areas listed below:— core HR system modules, including (but not limited to):—— employee self-service;—— absence management;—— reporting;—— organisational hierarchies.— payroll and pensions,— leavers,— mobile functionality,— talent management,— performance development,— pre-employment (onboarding).The following functionality is considered out of scope for this system:— recruitment and applicant tracking,— training and learning management,— expenses management.The following pieces are considered in scope of this project:— supplier led construction of a full implementation plan, full system specifications, full integration plan,— compliance with security and data requirements,— data migration,— any integration work, including with our Applicant Tracking System,— UAT,— training for staff,— handover to BAU support systems.Jisc has approximately 750 employees (and plans to grow by merger activity) consisting of permanent and fixed term staff. As Jisc has evolved since its inception in 1993 employees have TUPE’d in from various other organisations and therefore there exist several legacy contracts and differing terms and conditions of employment within the organisation.As a result of Jisc’s history there are multiple payrolls which run each month, these are separate legal entities.The automation and streamlining of processes is an essential output of this project and we expect a supplier to advise on how to make our processes make best use of a new system to allow the people services team and Jisc to benefit from the efficiencies and accuracies this provides, as well as deliver an enhanced user experience.Integration with our pension provider, USS, is necessary in order to provide accurate and up-to-date pensions information for each eligible employee.The system needs to be able to integrate with other software as a service to enable processes. This requirement is including but not limited to sending emails via Office 365, sending payroll data to our Dynamics 365 finance system, receiving data from our expenses management software SAP Concur.The final solution needs to be a fully integrated HR, payroll and talent management system rather than individual, linked functionality. This is to maintain data integrity by having only 1 single source and to reduce the risk of links between these aspects of the system malfunctioning and to provide a consistent user experience. To further maximise the efficiencies provided by the solution, employees and managers should have access to a self-service portal to be able to access/update key data and trigger workflows as necessaryIn line with Jisc’s IT policy, the proposed solution must adhere to the following data storage and handling principles:— data to be stored securely in the cloud (bidder’s security policy to be evaluated by Jisc before the award of any contract),— data to be stored in the EU to comply with data protection regulations,— suitable disaster recovery and BCM plans must exist (bidder’s plans to be evaluated by Jisc before the award of any contract),— data is to be encrypted at rest,— 2-factor authentication for logins.",L,Services,72000000,"IT services: consulting, software development, Internet and support",477235.20,GBP,keine Angabe,keine Angabe,477235.20,GBP
CCHA — Cleaning Contract,Cleaning services for all blocks/sites owned and managed by CCHA. This includes window cleaning and the cleaning of communal areas in both commercial and residential properties. It is anticipated that the annual contract value will be 650 000 GBP.,"The services required by these contracts, can include but are not restricted to:— routine cleaning and window cleaning services to internal and external communal areas of blocks community hall and offices, including blocks housing elderly customers, supported housing and those in need of extra support,— reactive cleaning services to internal and external communal areas of blocks community hall and offices,— other site based tasks which may be carried out on a routine or reactive basis and the removal of litter, fly tipping and bulk refuse.",A,Services,90910000,Cleaning services,6000000,GBP,60000000,GBP,60000000,GBP
Fast Track — PHB Notional Budget,Fast track — PHB notional budget.,Fast track — PHB notional budget.,S,Services,85100000,Health services,1054.00,GBP,1054.00,GBP,1054.00,GBP
Fast Track,Fast track.,Fast track.,S,Services,85100000,Health services,2402.50,GBP,2402.50,GBP,2402.50,GBP
CCHA-Fire contract,"Provision a 24 hour, 7 days a week, year round, fully comprehensive servicing and responsive repair service to fire safety equipment and systems located in all of CCHA’s communal and commercial sites. It is anticipated that the annual contract value will be between 50 000 and 100 000 GBP and will cover, where applicable, the 3 200 properties owned by CCHA, including commercial properties.","The appointed contractor shall be expected to provide a 24 hour, 7 days a week, year round, fully comprehensive Servicing and responsive repair service to fire safety equipment and systems located in all of CCHA’s communal and commercial sites. Please refer to the tender documents for a full description.",A,Services,50413200,Repair and maintenance services of firefighting equipment,keine Angabe,keine Angabe,1000000,GBP,1000000,GBP
Winter Maintenance of Roads in New kommune [Nes Municipality],ØRIK invites tenderers to participate in an open tender contest for the delivery of winter maintenance of municipal roads in Nes kommune [Nes municipality].Winter maintenance includes snow clearing and gritting. The district is divided into 13 routes. This tender includes 12 routes that will be subject to competitive tendering. Nes maintains one route internally.This tender collection concerns routes 1 — 12. The roads will undergo winter maintenance in the period October 15 — April 15.,ØRIK invites tenderers to participate in an open tender contest for the delivery of winter maintenance of municipal roads in Nes kommune [Nes municipality].Winter maintenance includes snow clearing and gritting. The district is divided into 13 routes. This tender includes 12 routes that will be subject to competitive tendering. Nes maintains one route internally.This tender collection concerns routes 1 — 12. The roads will undergo winter maintenance in the period October 15 — April 15.,S,Services,90620000,Snow-clearing services,4400000,NOK,4400000,NOK,4400000,NOK
Ad-Hoc Services,Ad-hoc services.,Ad-hoc services.,S,Services,60170000,Hire of passenger transport vehicles with driver,5.00,GBP,5.00,GBP,5.00,GBP
"The Supply of Highway Signs, Street Nameplates, General Signage and Posts, fixings and Accessories","Corserv Ltd (and its group of companies) and Cornwall Council are seeking to select and appoint supplier(s) to a framework agreement, for the provision of highway signs, street nameplates, general signage supplies and post, fixings and accessories.","Corserv Ltd (and its group of companies) and Cornwall Council are seeking to select and appoint supplier(s) to a framework agreement, for the provision of highway signs.",S,Supplies,39174000,Shop signs,1343400,GBP,keine Angabe,keine Angabe,1343400,GBP
"The Supply of Highway Signs, Street Nameplates, General Signage and Posts, fixings and Accessories","Corserv Ltd (and its group of companies) and Cornwall Council are seeking to select and appoint supplier(s) to a framework agreement, for the provision of highway signs, street nameplates, general signage supplies and post, fixings and accessories.","Corserv Ltd (and its group of companies) and Cornwall Council are seeking to select and appoint supplier(s) to a framework agreement, for the provision of street nameplates.",S,Supplies,39174000,Shop signs,1343400,GBP,keine Angabe,keine Angabe,1343400,GBP
"The Supply of Highway Signs, Street Nameplates, General Signage and Posts, fixings and Accessories","Corserv Ltd (and its group of companies) and Cornwall Council are seeking to select and appoint supplier(s) to a framework agreement, for the provision of highway signs, street nameplates, general signage supplies and post, fixings and accessories.","Corserv Ltd (and its group of companies) and Cornwall Council are seeking to select and appoint supplier(s) to a framework agreement, for the provision of general signage supplies.",S,Supplies,39174000,Shop signs,1343400,GBP,keine Angabe,keine Angabe,1343400,GBP
"The Supply of Highway Signs, Street Nameplates, General Signage and Posts, fixings and Accessories","Corserv Ltd (and its group of companies) and Cornwall Council are seeking to select and appoint supplier(s) to a framework agreement, for the provision of highway signs, street nameplates, general signage supplies and post, fixings and accessories.","Corserv Ltd (and its group of companies) and Cornwall Council are seeking to select and appoint supplier(s) to a framework agreement, for the provision of post, fixings and accessories.",S,Supplies,39174000,Shop signs,1343400,GBP,keine Angabe,keine Angabe,1343400,GBP
S1076 (2020) Hire and Maintenance of Mobile and Standby Generators,"The contracting entity intends to establish a framework arrangement under which it shall appoint economic operators to enter into separate framework agreements for the provision of hire of and maintenance of mobile and standby generators across four (4) separate lots. Each framework agreement will be for a period of five (5) years with an option, exercisable entirely at the discretion of the contracting entity and subject to the terms of the framework agreement, to extend by a further optional period of up to three (3) years, with a total potential duration of eight (8) years.","— the hire of mobile generator sets from 100 kVA and up to 1000 kVA,— provision of a minimum of one (1) 400 kVA and two (2) 500 kVA generators at NIE Networks Plant Work shop located at Unit 2B Silverwood Business Park, Eastway, Lurgan, BT66 6LN,— supply of generators for planned operations delivered to various NIE Networks’ work sites throughout Northern Ireland,— provision of generators for fault and emergency works at short notice supplied in ‘Road Readiness Mode’ suitable for immediate transportation on the public highway,— generators or, where supplied, including truck body or trailer mounted shall be provided complete with all required sockets, plugs, leads, cables and connections,— all mobile generator sets will be supplied with confirmation of recent service history and with a full tank of fuel,— the provision of familiarisation training to NIE Networks’ staff for generators encompassed within the plant handover process at the commencement of each period of hire.It is intended that the contracting entity will enter into a framework agreement with one economic operator for this lot (in the form attached at Appendix M of the Tender Documents) with call-off contracts allocated on a direct award basis, as set out in the call-off procedure (in Appendix C of the Tender Documents).",N,Services,50532300,Repair and maintenance services of generators,905000.00,GBP,keine Angabe,keine Angabe,keine Angabe,keine Angabe
"Contract Regarding Payment Gateway and Acquiring Services, including Related and Complementary Services","The contracting authority is tendering a public contract regarding payment gateway and acquiring services, including related and complementary services.The contract is not divided into subcontracts, as significant economies of scale are expected by consolidating the activities.The time indications in the tender material are stated based on the time zone of Denmark.The estimated value below is the maximum value of costs and fees that the contracting authority estimates will be able to accrue over the 7 years that the contract may run.","The tender procedure will be conducted in accordance with the provisions in the Danish Public Procurement Act (Udbudsloven).The contracting authority is tendering a public contract regarding payment gateway and acquiring services, including related and complementary services.This includes payment gateway services such as:— deposit methods,— store cards,— recurrent (subscription),— transaction details,— frontend,— fraud/Anti-money laundering (AML),— reporting,— configuration,— handling of multiple merchants,— payment gateway administrative interface/backoffice,— withdrawals,— omnichannel,— services related to account-2-account/open banking.This includes acquiring services such as:— acquiring,— safety (compliance),— finance and reconciliation,— retail.",8,Services,66000000,Financial and insurance services,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe,keine Angabe
Storelva VBA — Process Equipment,"Senja kommune (Senja municipality) hereby invites tenderers to participate in a competition for the turnkey contract Storelva VBA (Storelva Water Treatment Plant) – Process Equipment.The assignment is regulated by NS 8407, General contract provisions for turnkey contracts with the changes and additions that are given in the tender documentation part 2, chapters 3 and 4.","Senja kommune (Senja municipality) hereby invites tenderers to participate in a competition for the turnkey contract Storelva VBA (Storelva Water Treatment Plant) – Process Equipment.The assignment is regulated by NS 8407, General contract provisions for turnkey contracts with the changes and additions that are given in the tender documentation part 2, chapters 3 and 4.",W,Works,45252126,Drinking-water treatment plant construction work,23102437,NOK,keine Angabe,keine Angabe,23102437,NOK
GLA 81457 Grant Fund Manager for Developing Grass-Roots Provision in the VAWG Sector,MOPAC is establishing a grants fund which seeks to strengthen and support grassroots organisations providing services for victims and survivors of Violence Against Women and Girls (VAWG) in London. To do this MOPAC is tendering for a grants fund manager to develop and deliver this service over a period of 3 years.,"MOPAC is responsible for delivering the Mayor of London’s Police and Crime plan. More details of the work of MOPAC can be found at: https://www.london.gov.uk/what-we-d0/mayor’s-office-policing-and-crime-mopacFollowing an increase in demand and cuts in central government funding, it was been necessary for the mayor to reconsider what needs to be done by City Hall to tackle VAWG and ensure appropriate support is available to victims and survivors and in February 2019 The Mayor announced his Mayor’s VAWG Fund (MVF) an additional GBP 15 000 000 investment which has been divided into 4 funding tranches, committed to address the increase in demand for VAWG services across London.This procurement strategy relates to the grants fund manager aspect and is the third tranche of the MVF.MOPAC will establish a grants fund to strengthen and support grassroots organisations providing services for victims and survivors of VAWG in London. It is anticipated that the fund management arrangements will run across a 36-month period.The fund manager will develop and support the growth and networking of community-based organisations responding to VAWG in London, as well as awarding grants to relevant VAWG specialist organisations. The grant manager will develop the prospectus and evaluation strategy for the grant bidding process as well as delivering the grants.Mayor’s VAWG Strategy:https://www.london.gov.uk/mopac-publications/mayors-violence-against-women-and-girls-strategy-2018-2021",S,Services,79000000,"Business services: law, marketing, consulting, recruitment, printing and security",387042,GBP,400000,GBP,400000,GBP
Financial Management System,"North Lincolnshire Council and North East Lincolnshire Council are inviting tenders for the supply, implementation and maintenance of a financial management system. The system will be implemented across both authorities as 1 shared system.","North Lincolnshire Council and North East Lincolnshire Council are inviting tenders for the supply, implementation and maintenance of a financial management system. The solution must be able to host the system via a cloud based technology. The 2 authorities operate under a shared services arrangement and are looking for a single shared system that will provide seamless and real-time access to financial information. The contract term is 10 years with break clauses at year 6 and 8. The implementation phase will commence on 1.4.2020 followed by a go live date of 1.4.2021.The system shall provide the following components:— procure to pay,— general ledger,— accounts receivable,— reporting and data analytics,— budget management,— invoice capture.",S,Services,72000000,"IT services: consulting, software development, Internet and support",1300000.00,GBP,3000000.00,GBP,1300000.00,GBP
London Borough of Sutton,London Borough of Sutton.,London Borough of Sutton.,S,Services,60000000,Transport services (excl. Waste transport),1970.71,GBP,1970.71,GBP,1970.71,GBP
Ad-Hoc Services,Ad-hoc services.,Ad-hoc services.,S,Services,60170000,Hire of passenger transport vehicles with driver,14.29,GBP,14.29,GBP,14.29,GBP
