original_cpv,Original_cpv_text
73210000,Research consultancy services
34741000,Aircraft equipment
50100000,"Repair, maintenance and associated services of vehicles and related equipment"
50100000,"Repair, maintenance and associated services of vehicles and related equipment"
72200000,Software programming and consultancy services
71314300,Energy-efficiency consultancy services
48000000,Software package and information systems
50000000,Repair and maintenance services
34992000,Signs and illuminated signs
34992000,Signs and illuminated signs
34992000,Signs and illuminated signs
38000000,"Laboratory, optical and precision equipments (excl. glasses)"
38636100,Lasers
38636100,Lasers
50000000,Repair and maintenance services
85300000,Social work and related services
71000000,"Architectural, construction, engineering and inspection services"
71000000,"Architectural, construction, engineering and inspection services"
71000000,"Architectural, construction, engineering and inspection services"
71000000,"Architectural, construction, engineering and inspection services"
71000000,"Architectural, construction, engineering and inspection services"
79416000,Public relations services
79416000,Public relations services
90510000,Refuse disposal and treatment
90510000,Refuse disposal and treatment
90510000,Refuse disposal and treatment
90510000,Refuse disposal and treatment
90510000,Refuse disposal and treatment
90510000,Refuse disposal and treatment
90510000,Refuse disposal and treatment
90510000,Refuse disposal and treatment
90510000,Refuse disposal and treatment
90510000,Refuse disposal and treatment
71354000,Map-making services
71354000,Map-making services
71631200,Technical automobile inspection services
22459100,Advertising stickers and strips
22459100,Advertising stickers and strips
22459100,Advertising stickers and strips
22459100,Advertising stickers and strips
22459100,Advertising stickers and strips
22459100,Advertising stickers and strips
42514000,Machinery and apparatus for filtering or purifying gases
42414000,"Cranes, mobile lifting frames and works trucks fitted with a crane"
42510000,"Heat-exchange units, air-conditioning and refrigerating equipment, and filtering machinery"
9000000,"Petroleum products, fuel, electricity and other sources of energy"
38421110,Flowmeters
9310000,Electricity
42995200,Beach cleaning machines
45421000,Joinery work
48820000,Servers
34144512,Refuse-compaction vehicles
39130000,Office furniture
33182000,Cardiac support devices
79540000,Interpretation services
90911100,Accommodation cleaning services
90911000,"Accommodation, building and window cleaning services"
90500000,Refuse and waste related services
98392000,Relocation services
90510000,Refuse disposal and treatment
66114000,Financial leasing services
71000000,"Architectural, construction, engineering and inspection services"
72000000,"IT services: consulting, software development, Internet and support"
72315200,Data network management services
85323000,Community health services
79822500,Graphic design services
72000000,"IT services: consulting, software development, Internet and support"
72000000,"IT services: consulting, software development, Internet and support"
24962000,Water-treatment chemicals
98300000,Miscellaneous services
98300000,Miscellaneous services
45000000,Construction work
38000000,"Laboratory, optical and precision equipments (excl. glasses)"
35500000,Warships and associated parts
35500000,Warships and associated parts
35500000,Warships and associated parts
38514200,Scanning probe microscopes
22100000,"Printed books, brochures and leaflets"
33190000,Miscellaneous medical devices and products
38000000,"Laboratory, optical and precision equipments (excl. glasses)"
85312000,Social work services without accommodation
85120000,Medical practice and related services
85312000,Social work services without accommodation
60000000,Transport services (excl. Waste transport)
85300000,Social work and related services
85312000,Social work services without accommodation
50232200,Traffic-signal maintenance services
60000000,Transport services (excl. Waste transport)
60000000,Transport services (excl. Waste transport)
60000000,Transport services (excl. Waste transport)
60000000,Transport services (excl. Waste transport)
60000000,Transport services (excl. Waste transport)
90000000,"Sewage, refuse, cleaning and environmental services"
60120000,Taxi services
60120000,Taxi services
60120000,Taxi services
60120000,Taxi services
71410000,Urban planning services
85300000,Social work and related services
85300000,Social work and related services
85100000,Health services
60000000,Transport services (excl. Waste transport)
72230000,Custom software development services
72000000,"IT services: consulting, software development, Internet and support"
85300000,Social work and related services
85300000,Social work and related services
60170000,Hire of passenger transport vehicles with driver
60000000,Transport services (excl. Waste transport)
60000000,Transport services (excl. Waste transport)
85300000,Social work and related services
60170000,Hire of passenger transport vehicles with driver
72512000,Document management services
66115000,International payment transfer services
85000000,Health and social work services
85000000,Health and social work services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
55524000,School catering services
50700000,Repair and maintenance services of building installations
71000000,"Architectural, construction, engineering and inspection services"
85100000,Health services
66500000,Insurance and pension services
71900000,Laboratory services
90600000,"Cleaning and sanitation services in urban or rural areas, and related services"
60130000,Special-purpose road passenger-transport services
60130000,Special-purpose road passenger-transport services
60130000,Special-purpose road passenger-transport services
71333000,Mechanical engineering services
85312000,Social work services without accommodation
85312000,Social work services without accommodation
44311000,Stranded wire
44530000,Fasteners
44530000,Fasteners
44530000,Fasteners
44530000,Fasteners
60100000,Road transport services
33195000,Patient-monitoring system
80660000,Training and simulation in military electronic systems
50100000,"Repair, maintenance and associated services of vehicles and related equipment"
80550000,Safety training services
35113210,Nuclear safety equipment
50000000,Repair and maintenance services
50000000,Repair and maintenance services
50000000,Repair and maintenance services
50000000,Repair and maintenance services
50000000,Repair and maintenance services
50000000,Repair and maintenance services
50000000,Repair and maintenance services
50000000,Repair and maintenance services
50000000,Repair and maintenance services
22000000,Printed matter and related products
35125100,Sensors
38000000,"Laboratory, optical and precision equipments (excl. glasses)"
73110000,Research services
90612000,Street-sweeping services
72000000,"IT services: consulting, software development, Internet and support"
90513100,Household-refuse disposal services
71320000,Engineering design services
31320000,Power distribution cables
31320000,Power distribution cables
31320000,Power distribution cables
31320000,Power distribution cables
31320000,Power distribution cables
31320000,Power distribution cables
66515000,Damage or loss insurance services
66515000,Damage or loss insurance services
38000000,"Laboratory, optical and precision equipments (excl. glasses)"
38000000,"Laboratory, optical and precision equipments (excl. glasses)"
48440000,Financial analysis and accounting software package
33600000,Pharmaceutical products
90620000,Snow-clearing services
71354000,Map-making services
72224000,Project management consultancy services
85147000,Company health services
90512000,Refuse transport services
79300000,Market and economic research; polling and statistics
79300000,Market and economic research; polling and statistics
79300000,Market and economic research; polling and statistics
79300000,Market and economic research; polling and statistics
73200000,Research and development consultancy services
45343100,Fireproofing work
45234116,Track construction works
71000000,"Architectural, construction, engineering and inspection services"
71541000,Construction project management services
71541000,Construction project management services
45000000,Construction work
45000000,Construction work
45000000,Construction work
45000000,Construction work
45314320,Installation of computer cabling
45314320,Installation of computer cabling
45314320,Installation of computer cabling
45314320,Installation of computer cabling
45213312,Car park building construction work
45000000,Construction work
45000000,Construction work
45211360,Urban development construction work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
31682540,Substation equipment
44113000,Road-construction materials
33100000,Medical equipments
38422000,Level-measuring equipment
38422000,Level-measuring equipment
38422000,Level-measuring equipment
38422000,Level-measuring equipment
33000000,"Medical equipments, pharmaceuticals and personal care products"
42997300,Industrial robots
32531000,Satellite communications equipment
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
33750000,Baby care products
33750000,Baby care products
34100000,Motor vehicles
34100000,Motor vehicles
55524000,School catering services
50232000,Maintenance services of public-lighting installations and traffic lights
85312000,Social work services without accommodation
85100000,Health services
71541000,Construction project management services
85312000,Social work services without accommodation
85100000,Health services
60170000,Hire of passenger transport vehicles with driver
85100000,Health services
60000000,Transport services (excl. Waste transport)
85100000,Health services
85100000,Health services
90512000,Refuse transport services
90900000,Cleaning and sanitation services
85312300,Guidance and counselling services
79714000,Surveillance services
33692300,Enteral feeds
72700000,Computer network services
85000000,Health and social work services
50700000,Repair and maintenance services of building installations
50700000,Repair and maintenance services of building installations
80000000,Education and training services
55524000,School catering services
85300000,Social work and related services
79990000,Miscellaneous business-related services
71000000,"Architectural, construction, engineering and inspection services"
71000000,"Architectural, construction, engineering and inspection services"
98371200,Undertaking services
98371200,Undertaking services
98371200,Undertaking services
98371200,Undertaking services
98371200,Undertaking services
98371200,Undertaking services
98371200,Undertaking services
98371200,Undertaking services
98371200,Undertaking services
98371200,Undertaking services
79416000,Public relations services
71314300,Energy-efficiency consultancy services
85100000,Health services
50750000,Lift-maintenance services
50750000,Lift-maintenance services
50750000,Lift-maintenance services
71324000,Quantity surveying services
33696500,Laboratory reagents
71000000,"Architectural, construction, engineering and inspection services"
85121100,General-practitioner services
85312110,Child daycare services
85312110,Child daycare services
85312110,Child daycare services
90500000,Refuse and waste related services
79340000,Advertising and marketing services
75211200,Foreign economic-aid-related services
79000000,"Business services: law, marketing, consulting, recruitment, printing and security"
45241300,Pier construction work
45213341,Ferry terminal building construction work
31321500,Submarine cable
41110000,Drinking water
35330000,Ammunition
79212000,Auditing services
72200000,Software programming and consultancy services
79822500,Graphic design services
90700000,Environmental services
73200000,Research and development consultancy services
73200000,Research and development consultancy services
79311400,Economic research services
85121000,Medical practice services
73300000,Design and execution of research and development
73300000,Design and execution of research and development
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
79530000,Translation services
38433100,Mass spectrometer
39162100,Teaching equipment
39162100,Teaching equipment
48190000,Educational software package
33140000,Medical consumables
33140000,Medical consumables
33140000,Medical consumables
33140000,Medical consumables
33140000,Medical consumables
33140000,Medical consumables
33140000,Medical consumables
33140000,Medical consumables
33140000,Medical consumables
33140000,Medical consumables
35100000,Emergency and security equipment
38000000,"Laboratory, optical and precision equipments (excl. glasses)"
66520000,Pension services
79212200,Internal audit services
71222000,Architectural services for outdoor areas
71000000,"Architectural, construction, engineering and inspection services"
73111000,Research laboratory services
34621200,Railway maintenance or service vehicles
79800000,Printing and related services
51000000,Installation services (except software)
51000000,Installation services (except software)
72000000,"IT services: consulting, software development, Internet and support"
50000000,Repair and maintenance services
45000000,Construction work
33000000,"Medical equipments, pharmaceuticals and personal care products"
33100000,Medical equipments
15800000,Miscellaneous food products
15800000,Miscellaneous food products
15800000,Miscellaneous food products
15200000,Prepared and preserved fish
15200000,Prepared and preserved fish
15200000,Prepared and preserved fish
33132000,Dental implant
39710000,Electrical domestic appliances
34144210,Firefighting vehicles
33696000,Reagents and contrast media
79300000,Market and economic research; polling and statistics
79420000,Management-related services
71315200,Building consultancy services
48812000,Financial information systems
90500000,Refuse and waste related services
90500000,Refuse and waste related services
66510000,Insurance services
90910000,Cleaning services
85311000,Social work services with accommodation
80570000,Personal development training services
79100000,Legal services
45233000,"Construction, foundation and surface works for highways, roads"
45233100,"Construction work for highways, roads"
45233100,"Construction work for highways, roads"
45233100,"Construction work for highways, roads"
45233100,"Construction work for highways, roads"
45233100,"Construction work for highways, roads"
45233100,"Construction work for highways, roads"
45233100,"Construction work for highways, roads"
45233100,"Construction work for highways, roads"
45233100,"Construction work for highways, roads"
45000000,Construction work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45300000,Building installation work
45421100,Installation of doors and windows and related components
38434510,Cytometers
9000000,"Petroleum products, fuel, electricity and other sources of energy"
9000000,"Petroleum products, fuel, electricity and other sources of energy"
9000000,"Petroleum products, fuel, electricity and other sources of energy"
9000000,"Petroleum products, fuel, electricity and other sources of energy"
9300000,"Electricity, heating, solar and nuclear energy"
9300000,"Electricity, heating, solar and nuclear energy"
33600000,Pharmaceutical products
33600000,Pharmaceutical products
33600000,Pharmaceutical products
33600000,Pharmaceutical products
33600000,Pharmaceutical products
33600000,Pharmaceutical products
33600000,Pharmaceutical products
33600000,Pharmaceutical products
33600000,Pharmaceutical products
33600000,Pharmaceutical products
33600000,Pharmaceutical products
33600000,Pharmaceutical products
33600000,Pharmaceutical products
33600000,Pharmaceutical products
33600000,Pharmaceutical products
33600000,Pharmaceutical products
33600000,Pharmaceutical products
33140000,Medical consumables
33140000,Medical consumables
33140000,Medical consumables
33140000,Medical consumables
33140000,Medical consumables
33140000,Medical consumables
39220000,"Kitchen equipment, household and domestic items and catering supplies"
15000000,"Food, beverages, tobacco and related products"
15000000,"Food, beverages, tobacco and related products"
3220000,"Vegetables, fruits and nuts"
3220000,"Vegetables, fruits and nuts"
24450000,Agro-chemical products
24450000,Agro-chemical products
24450000,Agro-chemical products
48451000,Enterprise resource planning software package
34136200,Panel vans
33692800,Dialysis solutions
34992000,Signs and illuminated signs
85312000,Social work services without accommodation
92312110,Theatrical producer entertainment services
50117200,Ambulance conversion services
50117200,Ambulance conversion services
50117200,Ambulance conversion services
50117200,Ambulance conversion services
50117200,Ambulance conversion services
50117200,Ambulance conversion services
50117200,Ambulance conversion services
50117200,Ambulance conversion services
50117200,Ambulance conversion services
50117200,Ambulance conversion services
50117200,Ambulance conversion services
71315300,Building surveying services
71315300,Building surveying services
71315300,Building surveying services
72222300,Information technology services
72222300,Information technology services
85312000,Social work services without accommodation
85300000,Social work and related services
85300000,Social work and related services
85300000,Social work and related services
79620000,Supply services of personnel including temporary staff
85100000,Health services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
80000000,Education and training services
60000000,Transport services (excl. Waste transport)
50422000,Repair and maintenance services of surgical equipment
60000000,Transport services (excl. Waste transport)
85300000,Social work and related services
85100000,Health services
85000000,Health and social work services
79620000,Supply services of personnel including temporary staff
85100000,Health services
85100000,Health services
85312000,Social work services without accommodation
85311100,Welfare services for the elderly
80500000,Training services
79800000,Printing and related services
73430000,Test and evaluation
90919200,Office cleaning services
60170000,Hire of passenger transport vehicles with driver
60170000,Hire of passenger transport vehicles with driver
60170000,Hire of passenger transport vehicles with driver
60000000,Transport services (excl. Waste transport)
72000000,"IT services: consulting, software development, Internet and support"
72000000,"IT services: consulting, software development, Internet and support"
72000000,"IT services: consulting, software development, Internet and support"
60170000,Hire of passenger transport vehicles with driver
60170000,Hire of passenger transport vehicles with driver
60170000,Hire of passenger transport vehicles with driver
60170000,Hire of passenger transport vehicles with driver
60170000,Hire of passenger transport vehicles with driver
60170000,Hire of passenger transport vehicles with driver
60170000,Hire of passenger transport vehicles with driver
60170000,Hire of passenger transport vehicles with driver
60170000,Hire of passenger transport vehicles with driver
60170000,Hire of passenger transport vehicles with driver
60170000,Hire of passenger transport vehicles with driver
75211200,Foreign economic-aid-related services
79341000,Advertising services
