#,original_cpv,Original_cpv_text,title,short_desc_eng,long_desc_eng
17,34144710,Wheeled loaders,Wheeled Loader for Gatedalen miljøanlegg [Gatedalen Environmental Plant],"In accordance with the Act and Public Procurement Regulations, Sarpsborg municipality (hereafter referred to as the contracting authority) invites tenderers to participate in an open tender competition for the delivery of a wheeled loader to Gatedalen Environmental Plant.","In accordance with the Act and Public Procurement Regulations, Sarpsborg municipality (hereafter referred to as the contracting authority) invites tenderers to participate in an open tender competition for the delivery of a wheeled loader to Gatedalen Environmental Plant."
18,39711310,Electric coffee makers,R00691 and R00842 — Framework Agreement for the Hire of Coffee Machines and Water Dispensers,"The framework agreement is for the hire of coffee machines and water dispensers.The coffee machines must use coffee beans to brew fresh coffee. All parts of the coffee beans must be used.There must be a possibility for tapping hot water from the coffee machines and several types of coffee/coffee drinks must be offered. Separate taps for coffee drinks and water.The water dispensers must offer carbonated water and still water.Tenders may be submitted for 1 or both of the lots given below:Lot 1: North Norway, from and including Nordland and northwards;Lot 2: South Norway, from and including Trøndelag and southwards.Each lot will be evaluated separately as an independent procurement.The contracting authority: The Norwegian Defence Estates Agency.The following organisations have an option to enter the framework agreement:— The Norwegian Armed Forces;— The Norwegian Defence Research Establishment (FFI);— The Norwegian Defence Materiel Agency (FMA).","Floor mounted and bench models are requested. The majority of the hired coffee machines will be floor standing models.Systems containing disposable capsules are not requested.The coffee from the machines must free of charge for our users and we do not accept tenders containing coffee machines with payment systems.If tenders are submitted for both lots, the same type of machines must be offered for both areas."
19,33111600,Radiography devices,"Moveable X-ray Apparatuses, Digital, Førde Health Trust","The contracting authority requests 2 digital, moveable X-ray apparatuses. Each apparatus shall include a large wireless detector. A small wireless detector that can be split between the apparatuses shall also be included in the tender.","The equipment shall be used for thorax and trauma examinations in all the hospital's departments for examinations on all patient groups, from premature babies in incubators to bedridden adult obese patients. The equipment shall be used for critical situations with a high workload and must therefore have a short start-up time and a quick examination time. The equipment must be reliable and easy to handle and transport and easy to adjust.See Annex 2 — the requirements specification for more detailed information."
20,3121100,"Live plants, bulbs, roots, cuttings and slips",Framework Agreement for the Procurement of Summer Flowers and Autumn Plants,"The objective of the framework agreement is to ensure the municipality's requirements for annual summer flowers and autumn plants to be planted in municipal parks, graveyards and other properties.","Bærum Municipality would like to enter into an agreement with 1 supplier. The objective of the agreement is to ensure the municipality's requirements for procurements of annual summer flowers and autumn plants for planting in the municipal parks and graveyards. The agreement period is 2 years with an option for extension for 1 or more times, for up to 2 years. The total agreement period with options is 4 years."
21,48000000,Software package and information systems,Procurement of Digital Interaction System for Kystverket's [the Norwegian Coastal Administration's] Project (Project Hotel),"Kystverket [the Norwegian Coastal Administration] needs to digitise the implementation phase of our project, including contracts and will therefore procure a system for interaction/project hotel.","Kystverket [the Norwegian Coastal Administration] needs to digitise the implementation phase of our project, including contracts and will therefore procure a system for interaction/project hotel."
22,38510000,Microscopes,Single-molecule Confocal Fluorescence Microscope for Uni. Iceland,"An RFI was created to give interested suppliers the opportunity to provide information a potential system that UI would purchase. The number 1 criteria was demonstrated single-molecule sensitivity. Three potential suppliers replied: PicoQuant (PQ, Berlin, Germany), Medor (Iceland) and Inter (Iceland). The instrument fromInter, Elyra 7, is not a confocal microscope and therefore not capable of the majority of experiments required (time-domain FLIM, TCSPC, FCS, smFRET and even STED).The MT200 from PQ is the only instrument that provides all specifications of the RFI in a single instrument and demonstrates excellent support and experience. Given the prime requirement of single-molecule sensitivity, the MT200 is the strongest instrument on the market.","IntroductionAn RFI was created to give interested suppliers the opportunity to provide information a potential system that UI would purchase. The number 1 criteria was demonstrated single-molecule sensitivity. Three potential suppliers replied: PicoQuant (PQ, Berlin, Germany), Medor (Iceland) and Inter (Iceland). The instrument from Inter, Elyra 7, is not a confocal microscope and therefore not capable of the majority of experiments required (time-domain FLIM, TCSPC, FCS, smFRET and even STED). Thus, here we discuss only the offers from PQ and Medor, based on the documents provided.Point-by-pointPQ sells the MicroTime 200 (MT200), an instrument that addresses every point that was raised in the RFI. The MT200 is the only device that can offer all mentioned functions and answer question (a) of the RFI with comply. Other suppliers could only partially fulfill the required specifications. Medor sells the Olympus FV300, a laser scanning microscope (LSM) and they claim to be able to fulfill all requirements but only with an upgrade in collaboration with PQ.Single-molecule sensitivityThe number 1 requirement that the instrument needs to fulfill is single-molecule sensitivity. For single-molecule sensitivity, the MT200 is the best suited system, as it is dedicated to those applications. To achieve highest sensitivity within the MT200 the number of optical elements has been reduced to a minimum. Detection is done free-space for best sensitivity and not via multimode fiber like with LSM (Medor) techniques where higher losses of photons occur. Another adaption in the MT200 for single-molecule sensitivity is a slightly expanded point spread function size, that guarantees the observation single-molecule bursts and optimal gaussian beam shape. This is done via a slight underfilling of the back aperture of the objective. This is in contrast to overfilling the back aperture, as in standard confocal LSMs (Olympus, ZEISS,...), where the main goal is maximal spatial resolution.PQ works closely together with Olympus (FV3000 f.e.), Zeiss (LSM series) and Nikon when it comes to upgrading their confocal microscopes with time resolved fluorescence. However, while fluorescense lifetimes add powerful additional information to LSMs and works nicely for cell biology applications, for single-molecule sensitivity a dedicated system is an absolute must.The MT200 is an accessible, modular system with maximum access and free choice of filters and main dichroics for optimal performance. For LSMs like FV3000, access is very limited and additional dichroics might be very expensive.SoftwareIn terms of user-friendliness: the MT200 has 1 software for both data acquisition and data analysis whereas with Olympus and Zeiss there would at least be 2 different software platforms required.Other specifications from RFI:— calibrated photo diode allowing calculation of laser power at objective (only PQ),— CCD-camera-based monitoring of back-scattered excitation light for focusing onto single-molecule samples as well as easy alignment of the system (only PQ),— possibility of using up to 6 detection channels with single-photon avalanche detectors (SPADs) (only PQ. PQ offers upgrades in FV3000 to 4 detection channels only),— options of super-resolution microscopy (STED, FLIM-STED, STED-FCS), dual-focus FCS (2fFCS), AFM and optical tweezers, with demonstrated success shown by systems in the field – Only PQ has demonstrated successful implementation of AFM and optical tweezers. PQ can offer STED but Olympus and Zeiss need other companies to provide this. Dual-focus FCS is only provided by PQ.ExperiencePQ have over 20 years of experience with time-resolved confocal microscopy and they provided an extensive list of customers worldwide. They also offer user trainings and scientific workshops regularly.It is unclear at this point what the scientific experience or customer base is for Medor.ConclusionThe MT200 from PQ is the only instrument that provi"
23,35811200,Police uniforms,Uniform Products,"The purpose of the procurement is to enter into a framework agreement for uniform products that service personnel in different operative and administrative functions needs for their working lives. The framework agreement will apply to the Norwegian Police Service, the Norwegian Correctional Services, Norwegian Customs, the Norwegian Police Security Service (PST) and the Governor of Svalbard.Based on previous years’ procurements, the estimate for call-offs is approx. 16 000 000 NOK during the contract period, including the option years. The estimate is non-binding for the contracting authority. See the tender documentation for further details.","Lot 1 includes the following products:Service attire 1: (T1 uniform), gala uniform, all-season coat, arm brassard, tie."
24,35811200,Police uniforms,Uniform Products,"The purpose of the procurement is to enter into a framework agreement for uniform products that service personnel in different operative and administrative functions needs for their working lives. The framework agreement will apply to the Norwegian Police Service, the Norwegian Correctional Services, Norwegian Customs, the Norwegian Police Security Service (PST) and the Governor of Svalbard.Based on previous years’ procurements, the estimate for call-offs is approx. 16 000 000 NOK during the contract period, including the option years. The estimate is non-binding for the contracting authority. See the tender documentation for further details.",Lot 2 includes the following products:Prosecutor Gowns. Used in court by police prosecutors.
25,33698100,Microbiological cultures,Blood Culture Bottles for Møre and Romsdal Hospital Trust (HMR),Møre and Romsdal Hospital Trust (Norwegian abbreviation HMR) intends to extend the existing contract for blood culture bottles on identical terms for the lifetime of the products. A new and open tender contest for blood culture bottles will most likely be implemented in connection with the opening of the Nord-Møre and Romsdal Hospital in 2023-2025.,"We refer to the PPR §13-4, letter C). Blood culture bottles are instrument dependent and any change of both instruments and blood culture bottles will have major consequences, both temporally and financial, as the instruments are connected to the automation.When the Nord-Møre and Romsdal Hospital (Norwegian abbreviation SNR) is put in operation, the independency for instruments and automation belts is not the same and it is therefore natural to call for an open tender contest then."
26,38000000,"Laboratory, optical and precision equipments (excl. glasses)",Pipetting Robot with Accompanying Instrument-dependent Consumables for the Delivery to Helse Stavanger HF,Procurement of a pipetting robot with the accompanying instrument-dependent consumables for delivery to Helse Stavanger HF.,Procurement of a pipetting robot with the accompanying instrument-dependent consumables for delivery to Helse Stavanger HF.
27,98341130,Janitorial services,Open Tender Contest for a Framework Agreement for Works Technician Services,"Oslo Municipality, c/o Omsorgsbygg Oslo KF, hereafter referred to as the contracting authority, extends an invitation to an open tender contest for the procurement of a framework agreement for works technician services. The aim of the procurement is to ensure that properties that do not have separate works technicians get operational work carried out that comes under Omsorgsbygg Oslo KF's responsibility as the owner of the buildings.","Oslo Municipality, c/o Omsorgsbygg Oslo KF, hereafter referred to as the contracting authority, extends an invitation to an open tender contest for the procurement of a framework agreement for works technician services. The aim of the procurement is to ensure that properties that do not have separate works technicians get operational work carried out that comes under Omsorgsbygg Oslo KF's responsibility as the owner of the buildings."
28,98341130,Janitorial services,Open Tender Contest for a Framework Agreement for Works Technician Services,"Oslo Municipality, c/o Omsorgsbygg Oslo KF, hereafter referred to as the contracting authority, extends an invitation to an open tender contest for the procurement of a framework agreement for works technician services. The aim of the procurement is to ensure that properties that do not have separate works technicians get operational work carried out that comes under Omsorgsbygg Oslo KF's responsibility as the owner of the buildings.",""
29,98341130,Janitorial services,Open Tender Contest for a Framework Agreement for Works Technician Services,"Oslo Municipality, c/o Omsorgsbygg Oslo KF, hereafter referred to as the contracting authority, extends an invitation to an open tender contest for the procurement of a framework agreement for works technician services. The aim of the procurement is to ensure that properties that do not have separate works technicians get operational work carried out that comes under Omsorgsbygg Oslo KF's responsibility as the owner of the buildings.",""
30,90710000,Environmental management,Assessment of the FKT Scheme [the Conflict Reduction Scheme],"Assess whether the scheme with grants for preventive measures against predatory animal damage and conflict prevention measures (FCT) can be improved in relation to the objectives of the scheme and if so, how.","Assess whether the scheme with grants for preventive measures against predatory animal damage and conflict prevention measures (FCT) can be improved in relation to the objectives of the scheme and if so, how."
31,90911000,"Accommodation, building and window cleaning services","Procurement of Cleaning Services for Nordland, Troms and Finnmark","The contracting authority would like tenders for the provision of cleaning services for the Norwegian Public Roads Administration in Nordland, Troms and Finnmark. Currently there are approx. 28 locations distributed throughout the 3 counties and the premises consist of everything from small inspection stations to larger office premises. See annex 1 Description of the buildings in location Groups 1-6 for a complete overview of the locations. Svolvær Traffic Station will join this contract in autumn 2020. The cleaning must be inspected based on The Nordic Standard INSTA 800 (NS-INSTA 800 Cleaning Quality — measuring system for judging the quality of cleaning). The latest available version of the standard must always be used.","The contracting authority would like tenders for the provision of cleaning services for the Norwegian Public Roads Administration in Nordland, Troms and Finnmark. Currently there are approx. 28 locations distributed throughout the 3 counties and the premises consist of everything from small inspection stations to larger office premises. See annex 1 Description of the buildings in location Groups 1-6 for a complete overview of the locations. Svolvær Traffic Station will join this contract in autumn 2020. The cleaning must be inspected based on The Nordic Standard INSTA 800 (NS-INSTA 800 Cleaning Quality — measuring system for judging the quality of cleaning). The latest available version of the standard must always be used."
32,90911000,"Accommodation, building and window cleaning services","Procurement of Cleaning Services for Nordland, Troms and Finnmark","The contracting authority would like tenders for the provision of cleaning services for the Norwegian Public Roads Administration in Nordland, Troms and Finnmark. Currently there are approx. 28 locations distributed throughout the 3 counties and the premises consist of everything from small inspection stations to larger office premises. See annex 1 Description of the buildings in location Groups 1-6 for a complete overview of the locations. Svolvær Traffic Station will join this contract in autumn 2020. The cleaning must be inspected based on The Nordic Standard INSTA 800 (NS-INSTA 800 Cleaning Quality — measuring system for judging the quality of cleaning). The latest available version of the standard must always be used.",""
33,90911000,"Accommodation, building and window cleaning services","Procurement of Cleaning Services for Nordland, Troms and Finnmark","The contracting authority would like tenders for the provision of cleaning services for the Norwegian Public Roads Administration in Nordland, Troms and Finnmark. Currently there are approx. 28 locations distributed throughout the 3 counties and the premises consist of everything from small inspection stations to larger office premises. See annex 1 Description of the buildings in location Groups 1-6 for a complete overview of the locations. Svolvær Traffic Station will join this contract in autumn 2020. The cleaning must be inspected based on The Nordic Standard INSTA 800 (NS-INSTA 800 Cleaning Quality — measuring system for judging the quality of cleaning). The latest available version of the standard must always be used.",""
34,22000000,Printed matter and related products,"Framework Agreement, Printing Services for the Sami Parliament","The objective of the tender contest is to enter into a framework agreement for printing services and promotional products for the Sami Parliament.The Sami Parliament, henceforth also referred to as the contracting authority, requests tenders for different printing services, e.g. the production of budgets, annual reports.The tender documentation includes all of the Sami Parliament's activities.","The objective of the tender contest is to enter into a framework agreement for printing services and promotional products for the Sami Parliament.The Sami Parliament, henceforth also referred to as the contracting authority, requests tenders for different printing services, e.g. the production of budgets, annual reports.The tender documentation includes all of the Sami Parliament's activities."
35,72314000,Data collection and collation services,"Competitive Dialogue about Traffic and Travel Data, Case Area Lillehammer","The contracting authority wants good quality data about travel habits and traffic along the road network both in and through towns and densely populated areas. It is a necessary basis in road planning, town and densely populated area development, toll money reviews, coordinated housing, area and transport planning, mobility planning, as well as performance management and planning. Traffic data (including travel times) combined with data and events is necessary for operative traffic control and to give information to the public through different channels. The contracting authority now wants to use new data sources to get better information about the travel pattern in and through towns and densely populated areas.","The contracting authority wants good quality data about travel habits and traffic along the road network both in and through towns and densely populated areas. It is a necessary basis in road planning, town and densely populated area development, toll money reviews, coordinated housing, area and transport planning, mobility planning, as well as performance management and planning. Traffic data (including travel times) combined with data and events is necessary for operative traffic control and to give information to the public through different channels. The contracting authority now wants to use new data sources to get better information about the travel pattern in and through towns and densely populated areas."
36,72314000,Data collection and collation services,"Competitive Dialogue about Traffic and Travel Data, Case Area Lillehammer","The contracting authority wants good quality data about travel habits and traffic along the road network both in and through towns and densely populated areas. It is a necessary basis in road planning, town and densely populated area development, toll money reviews, coordinated housing, area and transport planning, mobility planning, as well as performance management and planning. Traffic data (including travel times) combined with data and events is necessary for operative traffic control and to give information to the public through different channels. The contracting authority now wants to use new data sources to get better information about the travel pattern in and through towns and densely populated areas.",""
37,66100000,Banking and investment services,"EEA 073-2019 Voluntary Ex-ante Transparency Notice — Load Administration, Start Loans","Case management for processing applications, payments and the administration of loans/subsidies is currently carried out by executive officers in the Housing Department, supported by a tailor-made internal trade system, Boinfo. The Housing Department administers approx. 3 000 standing loans/subsidies.Bergen Municipality has started a project to digitalise processes in the Housing Department, including the administration of start loans/subsidies. Prioritised aims for the project are digital first choice for all customers/service recipients of the Housing Department, the establishment of a fully electronic archive and a simplification of the trade system by transferring functions to standardised systems.","Bergen Municipality, c/o the Housing Department, intends to enter into a contract with Lindorff for the provision of the service administration of start loans/subsidies. The framework agreement period will be 4 years, with a mutual termination deadline of 6 months.The start-up is planned for May 2020, providing that the conversion of the loan portfolio is approved.The municipality published a prior information notice in order to get feedback from the market and was also in contact with other municipalities to get an overview of possible systems in the market. Based on this process, the municipality is of the opinion that Lindorff is the only service provider who have systems in place that meet the needs for administering start loans."
38,45000000,Construction work,Quartier des fiches — Nouveau collège,"",""
39,45000000,Construction work,Quartier des fiches — nouveau collège,"",""
40,45000000,Construction work,Ersatzneubau Martinsheim,"",""
41,45000000,Construction work,Ersatzneubau Martinsheim Visp,"",""
42,45210000,Building construction work,BAV 22395 Wohnsiedlung Bullingerhof (unter Vorbehalt der Kreditgenehmigung),"",""
43,45000000,Construction work,Assainissement minimal de la ligne/Neuchâtel – La Chaux-de-Fonds/lot 2/ligne CFF: N,"",""
44,45000000,Construction work,Quartier des fiches — nouveau collège,"",""
45,45000000,Construction work,Assainissement minimal de la ligne travaux TechFer en entreprise générale — lignes 223-224: Neuchâtel – La Chaux-de-Fonds,"",""
46,45000000,Construction work,Assainissement minimal de la ligne/Neuchâtel – La Chaux-de-Fonds/lot 3/ligne CFF: nº 224/nº de projet: 1148146,"",""
47,60000000,Transport services (excl. Waste transport),Transports scolaires pour l'Association scolaire intercommunale d'Avenches et environs (ASIA),"",""
48,71000000,"Architectural, construction, engineering and inspection services","Ausschreibung Generalplanerleistung mit Präqualifikation Ehemaliges Verwaltungsgebäude Eniwa AG, Aarau","",""
49,71300000,Engineering services,RC 72 Saillon — Saxon. Mandat d'ingénieur civil pour l'étude et la réalisation des travaux d'assainissement spécialisé du Viaduc Saillon — Saxon,"",""
50,31700000,"Electronic, electromechanical and electrotechnical supplies",Beschaffung von Zähleranschlussklemmen für Stromzähler,"",""
51,31700000,"Electronic, electromechanical and electrotechnical supplies",Beschaffung von intelligenten Messgeräten (Smart Meter / Stromzähler),"",""
52,71000000,"Architectural, construction, engineering and inspection services","Entwicklungszonenpläne Bahnhof / Mobilitätshubs, Los 1: Region Mitte und Los 2: Region Ost","",""
53,71000000,"Architectural, construction, engineering and inspection services","Entwicklungszonenpläne Bahnhof / Mobilitätshubs, Los 1: Region Mitte und Los 2: Region Ost","",""
54,45211100,Construction work for houses,Perceval Road Development,Construction work for new build housing at Goathill.,HHP require suitably qualified and experienced contractors to provide design and build (D&B) services for the delivery of 74 houses which already have full planning permission in respect of the external configuration and site layout. The development comprises 37 semi detached blocks.
55,45000000,Construction work,S. Comgall's Main Works Contractor,"The project is for the provision of construction and building restoration works to create a mixed use community development hub on the existing St Comgalls, Belfast site. The building was awarded B1 Listed Building Status in 2002 and has remained derelict since then.— the Gross Internal Floor Area for restoration works is 3 271 m— the project consists of the restoration of the existing building and construction of new building features which will house the following facilities: office and exhibition spaces, plant rooms, new WC provision, function room, courtyard, kitchen, bar, café and central storage space,— proposed works include specialist concrete and structural repairs, utilities/services connections, building construction and restoration, provision of a new glazed pyramid roof, FF&E fit out and M&E works including a lift installation.","The project is for the provision of construction and building restoration works to create a mixed use community development hub on the existing St Comgalls, Belfast site. The building was awarded B1 Listed Building Status in 2002 and has remained derelict since then.— the Gross Internal Floor Area for restoration works is 3 271 m— the project consists of the restoration of the existing building and construction of new building features which will house the following facilities: office and exhibition spaces, plant rooms, new WC provision, function room, courtyard, kitchen, bar, café and central storage space,— proposed works include specialist concrete and structural repairs, utilities/services connections, building construction and restoration, provision of a new glazed pyramid roof, FF&E fit out and M&E works including a lift installation."
56,79418000,Procurement consultancy services,Defence Munitions Equipment and Services Support Provider (ESSP),"The Equipment and Services Support Provider (ESSP) is required to support defence munitions with low value procurement, (transactions up to 50 000 GBP ex VAT), for non recurring requirements that cannot be sourced via any other MOD or government contracts or frameworks.The ESSP has been identified by Defence Munitions Commercial to provide a more streamlined and efficient route to market for low-value, low risk requirements and to reduce the number of regular transactions via Government Electronic Procurement Card (ePC).","The scope of this contract requirement is expected to cover, but not be limited to:— air compressor equipment,— clothing,— DIY equipment and consumables (glues, paints, brushes, for example),— fire safety equipment,— health and safety equipment (defibrillators, first aid supplies, for example),— IT requirements (non-MODNET / DII only),— manufacturing materials (woods, metals, fittings, etc.)— mechanical handling equipment (MHE),— packaging equipment and materials,— personal protective equipment (PPE),— repair and maintenance requirements on-site at Defence Munitions,— toiletries (soaps, toilet paper, paper towels, for example),— workshop tooling supply, repair, maintenance and calibration.The ESSP requirement will specifically not cover:— consultancy,— infrastructure (works) requirements,— IT requirements (MODNET/DII),— repair and maintenance requirements on-site at any other MOD location,— quality assurance requirements,— safety requirements,— transport."
57,38433100,Mass spectrometer,Supply 2 x High Performance Liquid Chromatograph — Triple Quadrupole Mass Spectrometers,"Purchase of:— 2 x high performance liquid chromatograph – triple quadrupole mass spectrometer,— 4-year contract for maintenance and servicing,— 4-year framework for the supply of parts/consumables.","Purchase of:— 2 x high performance liquid chromatograph – triple quadrupole mass spectrometer,— 4-year contract for Maintenance and servicing,— 4-year framework for the supply of consumables."
58,32000000,"Radio, television, communication, telecommunication and related equipment","Voice Communication Systems for Air Traffic Control at Jersey Airport, Channel Islands","Ports of Jersey are looking for a turnkey solution to replace the existing Voice Communication Systems for ATC, as the existing system is approaching end of life.","3.1) The outline of the project is for a turnkey solution to replace the existing voice communication systems for Air Traffic Control (ATC) at Ports of Jersey airport. The existing VCS is approaching end of life and due to the lack of OEM support, the decision has been taken to replace the system. The turnkey solution shall comply with all applicable regulatory standards;3.2) The successful tenderer will be responsible for all suppliers and subcontractors, the installation, integration, test and technical handover of the equipment’s which, includes the safety assurance documentation;3.3) 2 systems are required:(a) Air Traffic Control Centre (ATCC) — existing HMI and radio/telephone interfaces are 15 positions, 30 telephones, approximately 20 radios, a crash alarm and a public announcement channel;(b) Air Traffic Control Contingency Facility (ATC-B) — existing HMI and radio/telephone interfaces are 9 positions, 6 telephones. 4 radios, a crash alarm and a public announcement channel;(a) in addition, the main Emergency Voice Communications System, E-VCS, is also to be replaced. This is end of life and no longer supported by the supplier. The existing emergency VCS in the ATC-B centre will not be replaced at this time. Options for upgrades to this system during this project will be considered. The E-VCS current HMI and radio/telephone interfaces are 11 positions, 5 telephones and 7 radios.3.4) The tender will be split into 3 main areas, with the requirement that the ATCC and ATC-B Voice Communications System have a common supplier, make, model, spares and training requirements, as explained above.(a) Voice Communications System (VCS) ATCC and ATC-B;(b) Emergency Voice Communication System (E-VCS) ATCC;(c) associated works and fibre interconnectivity support in order to effectively install the voice communications system.3.5) The VCS is operational 24/7 and the expected design life cycle is 15 years.3.6) Those tenderers who are invited to tender (ITT) will be able to conduct a site survey at the airport, so that the tenders can fully familiarise themselves with the existing design and integration requirements."
59,18100000,"Occupational clothing, special workwear and accessories",Work Wear for Forestry and Land Scotland and Scottish Forestry,"The purpose of this tender process is to award 2 national contracts for the provision of branded work wear, 1 for Forestry and Land Scotland and 1 for Scottish Forestry staff throughout Scotland.We are looking for a design led managed service for work wear which is ‘fit for purpose’ for the roles and activities undertaken by the organisation’s staff and ensures staff are identifiable and can proudly represent the organisations when in contact with the public.","Forestry and Land Scotland (FLS) will operate primarily on a commercial basis, including the production and sale of timber and its land management responsibilities will include renewable energy, agriculture, community projects, conservation, recreation and tourism. This work is currently carried out by Forestry Enterprise Scotland, an agency of the Forestry Commission and will transfer to FLS when it is established on 1.4.2019.This lot is for the provision of branded work wear for FLS staff. Products include but are not limited to: waterproof jackets and trousers, polo shirts, fleeces, trousers and some accessories. The purpose of this contract is to provide a suitable outfit for staff to provide protection from external environments and represent the FLS Brand. Therefore supplier must provide the full range of required products as detailed in the specification."
60,18100000,"Occupational clothing, special workwear and accessories",Work Wear for Forestry and Land Scotland and Scottish Forestry,"The purpose of this tender process is to award 2 national contracts for the provision of branded work wear, 1 for Forestry and Land Scotland and 1 for Scottish Forestry staff throughout Scotland.We are looking for a design led managed service for work wear which is ‘fit for purpose’ for the roles and activities undertaken by the organisation’s staff and ensures staff are identifiable and can proudly represent the organisations when in contact with the public.","Scottish Forestry (SF) will operate primarily as the Scottish Government’s forestry advisor and regulator. This work is currently undertaken by the Forestry Commission Scotland and will transfer to SF when it is established on 1.4.2019.This lot is for the provision of branded work wear for SF staff. Products include but are not limited to: waterproof jackets and trousers, polo shirts, fleeces, trousers and some accessories. The purpose of this contract is to provide a suitable outfit for staff to provide some protection from external environments and represent the SF Brand. Therefore supplier must provide the full range of required products."
61,48000000,Software package and information systems,Smartfolio Easy Plus,Back office system that integrates with the flowbird parking machines.,The back office system will be required for the life of the parking machines. this is a sole source of supply due to compatibility with the flowbird parking machines. the contract will be reviewed for other routes to market in within 2 years but could potentially be in place until 31.12.2027.
